,state,year,Value of crop production,Crop cash receipts,Cotton,Feed crops,Food grains,Fruits and nuts,Oil crops,Vegetables and melons,All other crops,Home consumption,Inventory adjustment,Unnamed: 0,avg_precip,stand_precip
0,1,1949,250813,230275,150706.0,13405.0,231.0,4937.0,30196.0,14421.0,16238,39680,-19142,54,1.18625,0.2222102613613433
1,1,1950,267006,229713,130815.0,13510.0,245.0,4850.0,32003.0,12494.0,35796,39254,-2143,55,-0.4928125,0.0247612328009015
2,1,1951,292913,264151,177427.0,14241.0,192.0,6245.0,23205.0,13414.0,29427,35748,-7278,56,-1.1523958333333333,-0.0528023411704811
3,1,1952,298393,277208,189744.0,9517.0,268.0,5274.0,25783.0,20143.0,26479,49808,-28897,57,-1.6010416666666665,-0.1055607608000998
4,1,1953,331899,263726,180347.0,9779.0,682.0,7388.0,24700.0,16534.0,24296,46457,21395,58,-0.649375,0.0063502960227921
5,1,1954,225342,207841,139797.0,9930.0,833.0,5057.0,14899.0,14666.0,22659,38818,-21620,59,-3.2946875,-0.3047247136113303
6,1,1955,365597,278400,187309.0,16635.0,1053.0,3519.0,26220.0,12408.0,30933,37543,49654,60,-2.825520833333333,-0.2495531505716733
7,1,1956,262144,257537,146444.0,22733.0,2266.0,9108.0,27089.0,14632.0,34944,34643,-30036,61,-1.6096875000000002,-0.1065774658916388
8,1,1957,200004,168209,82745.0,14838.0,2944.0,5548.0,17241.0,11817.0,32879,32473,-678,62,-0.0869791666666666,0.0724851248085621
9,1,1958,230530,195610,89596.0,20611.0,3486.0,14436.0,28932.0,12846.0,25477,29698,5221,63,-0.0204166666666666,0.0803125290675187
10,1,1959,231212,223017,131297.0,20611.0,1851.0,9172.0,18157.0,14024.0,27594,24686,-16491,64,-0.1442708333333333,0.0657479223947496
11,1,1960,231208,211870,130201.0,18930.0,1756.0,8587.0,25497.0,15562.0,10958,18940,398,65,-0.2784375,0.0499706192874943
12,1,1961,234260,211775,112044.0,16663.0,2214.0,12730.0,27432.0,14289.0,25975,18166,4319,66,1.8082291666666668,0.2953517806574782
13,1,1962,217331,216936,125179.0,15412.0,1396.0,5116.0,27532.0,16505.0,25357,15834,-15439,67,-0.4127083333333333,0.0341810667213047
14,1,1963,290730,262735,158152.0,17285.0,1583.0,13103.0,32876.0,14823.0,24504,14847,13148,68,-0.7947916666666668,-0.0107499486493572
15,1,1964,277333,265704,151265.0,22423.0,1828.0,4732.0,37041.0,21486.0,26528,13513,-1884,69,0.7366666666666667,0.1693415966013168
16,1,1965,272806,252834,135038.0,18074.0,1574.0,7345.0,40027.0,23059.0,27222,12774,7198,70,-0.1769791666666667,0.0619015922894094
17,1,1966,183305,185398,63025.0,20213.0,2336.0,9414.0,42950.0,17700.0,29098,11509,-13602,71,-0.0190625,0.0804717720336634
18,1,1967,196894,175368,29711.0,20726.0,3534.0,11593.0,55688.0,22459.0,30997,10410,11116,72,0.8119791666666667,0.1781979554107466
19,1,1968,202042,202206,52233.0,17565.0,2818.0,14336.0,57967.0,23258.0,33512,10005,-10168,73,-1.0834375,-0.0446931993560378
20,1,1969,216207,206270,56653.0,12835.0,2380.0,12338.0,65560.0,20099.0,35877,9047,890,74,-0.3373958333333333,0.0430374255307345
21,1,1970,231459,225193,64668.0,12727.0,1596.0,7767.0,76468.0,23480.0,37855,9736,-3470,75,0.1130208333333333,0.0960040859622347
22,1,1971,312368,289909,93308.0,15693.0,3766.0,14245.0,97697.0,24790.0,39655,9733,12726,76,0.9126041666666668,0.1900309327411881
23,1,1972,302060,294851,79842.0,17678.0,2090.0,10513.0,106677.0,32601.0,44672,9977,-2768,77,0.2713541666666667,0.1146232635422254
24,1,1973,444895,405373,97881.0,29647.0,4014.0,16271.0,144805.0,52021.0,59966,9002,30520,78,2.1792708333333333,0.3389843533811145
25,1,1974,582877,544519,115551.0,42006.0,6754.0,7625.0,242970.0,58860.0,69613,9009,29349,79,1.7385416666666664,0.2871568926304954
26,1,1975,533282,504411,95814.0,45289.0,6177.0,9009.0,223766.0,55930.0,67337,7517,21354,80,3.54125,0.4991460289458379
27,1,1976,632053,632266,126234.0,57490.0,6703.0,6908.0,302288.0,57729.0,73765,7530,-7743,81,2.4335416666666667,0.3688852826395076
28,1,1977,582826,600984,78452.0,27785.0,5772.0,18251.0,320447.0,52920.0,96117,7789,-25946,82,0.2348958333333333,0.1103359529152539
29,1,1978,661563,643212,92038.0,27544.0,3587.0,15001.0,376297.0,72213.0,55278,5973,12378,83,-0.171875,0.0625018157771854
30,1,1979,771945,722542,101325.0,37941.0,10348.0,7755.0,433447.0,77223.0,53383,5956,43447,84,2.132604166666667,0.3334965957785909
31,1,1980,595769,673111,131864.0,26305.0,20438.0,21879.0,330782.0,67803.0,72917,5929,-83271,85,0.4839583333333332,0.1396244092269367
32,1,1981,958377,876051,112035.0,36790.0,79263.0,29006.0,411457.0,109377.0,96597,5699,76627,86,-1.6951041666666666,-0.1166220222176864
33,1,1982,864002,846225,118517.0,37385.0,72116.0,26120.0,401431.0,86990.0,102320,5550,12227,87,0.4160416666666667,0.1316377620018355
34,1,1983,675099,755341,106850.0,29086.0,52786.0,20969.0,358929.0,78729.0,106900,5493,-85735,88,2.0270833333333336,0.3210878938782418
35,1,1984,870030,816729,121719.0,58440.0,47757.0,18807.0,356006.0,94466.0,118351,5566,47735,89,0.7877083333333335,0.175343831479077
36,1,1985,766397,753138,147786.0,58879.0,37606.0,16401.0,264954.0,95208.0,131038,5646,7613,90,-0.2521874999999999,0.0530574829389138
37,1,1986,561221,609773,89013.0,45188.0,15633.0,20868.0,217924.0,82749.0,137511,5508,-54060,91,-1.3541666666666663,-0.0765295431260352
38,1,1987,646844,641289,134729.0,44839.0,12246.0,19556.0,187129.0,95820.0,146077,3688,1867,92,-0.7065625000000001,-0.000374656932086
39,1,1988,713944,725675,128287.0,35527.0,25843.0,18164.0,268120.0,76445.0,172218,3581,-15312,93,-0.9245833333333332,-0.0260127744813759
40,1,1989,720758,701433,114624.0,37817.0,24981.0,21404.0,231561.0,93005.0,177036,3061,16264,94,1.95625,0.3127582618029827
41,1,1990,615027,635811,136787.0,34694.0,19059.0,15416.0,155396.0,81099.0,192001,2965,-23749,95,0.4939583333333332,0.1408003572846204
42,1,1991,812967,777883,156290.0,43189.0,7592.0,28358.0,232491.0,91894.0,216960,2869,32215,96,0.8480208333333334,0.1824362682019814
43,1,1992,782120,764624,174640.0,58013.0,12961.0,16644.0,221701.0,72970.0,206413,2773,14724,97,0.5965625,0.1528660743348118
44,1,1993,686868,725348,164861.0,50159.0,9806.0,26114.0,191152.0,77865.0,204086,2676,-41157,98,-0.245,0.0539026956053739
45,1,1994,829319,798987,250681.0,58767.0,13392.0,15860.0,193682.0,81520.0,184117,2580,27752,99,0.8921874999999999,0.1876300387900841
46,1,1995,700872,704010,167386.0,58813.0,11362.0,22053.0,175259.0,83882.0,183962,2484,-5622,100,0.2255208333333333,0.1092335016111755
47,1,1996,857571,775129,235612.0,75936.0,17119.0,12723.0,184891.0,54693.0,192784,2388,80054,101,1.5276041666666669,0.2623517382887314
48,1,1997,737725,790258,247013.0,70854.0,13304.0,20724.0,172937.0,53939.0,210092,2292,-54825,102,1.987083333333333,0.3163841016475073
49,1,1998,682759,707711,196094.0,53414.0,9725.0,15820.0,170584.0,48390.0,212441,2196,-27148,103,0.24625,0.1116711439390822
50,1,1999,674755,656092,156510.0,59326.0,10039.0,19615.0,140213.0,44528.0,224947,2100,16563,104,-0.8814583333333333,-0.0209414984826153
51,1,2000,551187,538738,113472.0,37221.0,10860.0,21544.0,85627.0,48671.0,221343,2003,10445,105,-2.362604166666667,-0.1951165550680687
52,1,2001,708529,642289,138559.0,42419.0,9340.0,21932.0,146210.0,45354.0,238475,1735,64505,106,0.7197916666666667,0.1673571842539757
53,1,2002,532403,534142,79853.0,48198.0,7366.0,19478.0,82635.0,40764.0,255848,1701,-3441,107,-0.0907291666666666,0.0720441442869307
54,1,2003,820617,862549,288655.0,60613.0,9382.0,16071.0,125087.0,61514.0,301227,1390,-43322,108,2.1341666666666668,0.3336803376626039
55,1,2004,894046,780080,149122.0,73709.0,9941.0,13774.0,138147.0,50022.0,345365,942,113024,109,1.0869791666666668,0.2105365269970465
56,1,2005,707537,777944,257590.0,68614.0,7121.0,18576.0,129157.0,40216.0,256670,567,-70974,110,1.090625,0.2109652580597436
57,1,2006,613395,624105,146332.0,60235.0,9831.0,18746.0,87425.0,47142.0,254394,349,-11059,111,-1.6039583333333334,-0.1059037456502575
58,1,2007,683167,707193,151844.0,99458.0,15575.0,19060.0,103840.0,47971.0,269445,387,-24413,112,-3.091041666666667,-0.2807770213949606
59,1,2008,979705,795546,111297.0,143538.0,64987.0,16577.0,161066.0,25513.0,272567,297,183862,113,-1.1480208333333333,-0.0522878638952445
60,1,2009,861528,942342,108848.0,153320.0,49765.0,21115.0,329768.0,28939.0,250588,243,-81058,114,1.7390625000000002,0.2872181399251664
61,1,2010,829796,944542,234734.0,161804.0,25950.0,13854.0,235285.0,22326.0,250588,230,-114976,115,-0.2147916666666665,0.0574550386962932
62,1,2011,1137279,1043933,269578.0,182570.0,73294.0,37540.0,206646.0,23490.0,250816,313,93033,116,-1.5471875000000002,-0.0992277905311161
63,1,2012,1356308,1313813,307416.0,239756.0,82931.0,10710.0,377193.0,28901.0,266905,617,41878,117,-0.7838541666666666,-0.0094637554612657
64,1,2013,1348666,1359518,261854.0,241198.0,110558.0,11223.0,431225.0,28238.0,275223,6046,-16899,118,1.9030208333333332,0.3064987882876043
65,1,2014,1141959,1285548,313151.0,252401.0,106957.0,6872.0,290659.0,31023.0,284486,572,-144160,119,-91.51552083333334,-10.67903647416778
66,2,1949,168006,164328,85470.0,16423.0,1143.0,3213.0,3779.0,48994.0,5306,674,3004,174,-0.2201190476190477,0.0568285663679439
67,2,1950,186044,187209,110970.0,16857.0,1380.0,5771.0,999.0,46335.0,4897,656,-1821,175,-2.390238095238096,-0.1983661615310427
68,2,1951,288980,228917,128459.0,21909.0,923.0,6781.0,542.0,64818.0,5485,1334,58729,176,-1.03,-0.0384092269227909
69,2,1952,289795,265147,175354.0,25713.0,1185.0,5027.0,327.0,53520.0,4021,2086,22562,177,1.1166666666666667,0.2140276227932947
70,2,1953,286739,321457,243389.0,22695.0,1027.0,7572.0,,43201.0,3573,1803,-36520,178,-1.1717857142857144,-0.0550824904549481
71,2,1954,277343,266634,174187.0,33230.0,821.0,6583.0,353.0,46683.0,4777,1677,9032,179,-1.4160714285714289,-0.0838092215783624
72,2,1955,241320,246054,147186.0,29342.0,1862.0,6842.0,358.0,55782.0,4682,1626,-6360,180,-0.9075,-0.0240038632161664
73,2,1956,263487,262879,154289.0,28472.0,2986.0,19099.0,181.0,52305.0,5547,1519,-911,181,-3.268809523809524,-0.3016815980275329
74,2,1957,250413,247735,141955.0,27967.0,4467.0,20925.0,201.0,46320.0,5900,1544,1134,182,-0.7220238095238096,-0.0021928266224629
75,2,1958,266276,271782,148126.0,26248.0,5979.0,24045.0,190.0,61595.0,5599,1633,-7139,183,0.6696428571428571,0.1614599447385087
76,2,1959,260101,264220,138561.0,31387.0,5437.0,20857.0,336.0,59745.0,7897,1673,-5792,184,-1.2110714285714288,-0.059702286395848
77,2,1960,278951,279915,146599.0,33003.0,1715.0,14433.0,292.0,71377.0,12496,440,-1404,185,-0.4870238095238095,0.0254419527331023
78,2,1961,304640,298581,158259.0,37052.0,2147.0,14000.0,518.0,69954.0,16651,1762,4297,186,-1.7808333333333333,-0.1267033269205367
79,2,1962,320198,305958,153977.0,31828.0,2076.0,13487.0,794.0,82800.0,20996,1955,12285,187,-0.9789285714285716,-0.0324034921996209
80,2,1963,331409,343972,170311.0,45288.0,2224.0,17802.0,481.0,89380.0,18486,2288,-14851,188,-1.6075,-0.1063202272540204
81,2,1964,306027,290596,130757.0,36511.0,2396.0,21648.0,328.0,81916.0,17040,2713,12718,189,-1.2664285714285717,-0.0662119988580253
82,2,1965,310299,297665,124808.0,41351.0,1795.0,17408.0,269.0,94978.0,17056,2439,10195,190,1.4025,0.2476401381087517
83,2,1966,248885,276592,104026.0,48236.0,1417.0,23451.0,267.0,78040.0,21155,2315,-30022,191,1.250357142857143,0.2297489283739937
84,2,1967,282890,288722,77916.0,56644.0,3496.0,29472.0,374.0,90679.0,30141,2084,-7916,192,-0.483452380952381,0.025861934182275
85,2,1968,316563,287913,83662.0,51135.0,3323.0,43713.0,218.0,83322.0,22540,2128,26522,193,0.650595238095238,0.1592200436762542
86,2,1969,304423,312223,91687.0,48262.0,6315.0,33009.0,172.0,106766.0,26012,2016,-9816,194,0.1597619047619048,0.1015005931782827
87,2,1970,269113,271514,75008.0,51840.0,12718.0,36733.0,137.0,74036.0,21042,2124,-4525,195,-0.7926190476190476,-0.0104944599344438
88,2,1971,308184,313243,75167.0,60365.0,18630.0,29095.0,149.0,107952.0,21885,1993,-7052,196,-1.6760714285714289,-0.1143838710781368
89,2,1972,355035,351778,100336.0,65101.0,17402.0,42702.0,160.0,103557.0,22520,2214,1043,197,-0.9283333333333332,-0.0264537550030073
90,2,1973,446674,450507,149774.0,86275.0,34761.0,46508.0,214.0,107031.0,25944,3263,-7096,198,1.6817857142857142,0.2804826874340588
91,2,1974,674633,607341,256535.0,99844.0,37845.0,59731.0,295.0,109982.0,43109,4401,62891,199,-1.7713095238095238,-0.1255833763894094
92,2,1975,500256,533135,167598.0,98095.0,52739.0,51033.0,,114890.0,48780,4417,-37296,200,-0.9379761904761904,-0.0275877049157737
93,2,1976,717098,678328,277324.0,95926.0,110808.0,42954.0,,112120.0,39196,5348,33422,201,-0.0016666666666667,0.0825174316756755
94,2,1977,688708,631932,304606.0,81630.0,22598.0,66090.0,,116333.0,40675,5660,51116,202,-1.4945238095238094,-0.0930348140785232
95,2,1978,752761,729819,335601.0,82218.0,30029.0,77412.0,,173955.0,30604,678,22264,203,2.7776190476190474,0.4093469954218898
96,2,1979,887442,857408,431150.0,96524.0,34466.0,94246.0,,175277.0,25745,717,29317,204,3.763928571428572,0.5253318723017574
97,2,1980,993004,893661,458724.0,108277.0,64838.0,58211.0,,169527.0,34084,754,98589,205,0.9864285714285712,0.1987122992801293
98,2,1981,1077151,981020,479907.0,98475.0,92169.0,72751.0,,203055.0,34663,780,95351,206,-1.8435714285714289,-0.1340810010443376
99,2,1982,835033,942528,465485.0,97227.0,39035.0,82279.0,,223355.0,35147,807,-108302,207,0.5588095238095238,0.1484265204325151
100,2,1983,694369,839017,407824.0,94852.0,48229.0,69719.0,,187843.0,30550,834,-145482,208,3.593095238095238,0.505242759649662
101,2,1984,990219,950158,388294.0,115133.0,46986.0,97174.0,6069.0,211546.0,84956,856,39205,209,1.725714285714286,0.2856484592588834
102,2,1985,898977,845904,279785.0,103154.0,32721.0,137253.0,3664.0,218172.0,71155,889,52184,210,3.001785714285714,0.4357078310482978
103,2,1986,830535,900767,338743.0,93191.0,31500.0,100674.0,4339.0,251304.0,81016,929,-71161,211,0.4565476190476191,0.1364010516045361
104,2,1987,1004843,985739,367181.0,101808.0,22906.0,117623.0,2119.0,292900.0,81202,632,18472,212,0.2808333333333334,0.1157379643052381
105,2,1988,1182672,1154710,358305.0,126107.0,29972.0,99656.0,5887.0,452078.0,82705,604,27358,213,0.3080952380952381,0.1189438227005899
106,2,1989,1143655,1173281,493075.0,123357.0,42664.0,101267.0,4267.0,320895.0,87756,528,-30154,214,-2.987380952380952,-0.2685870598327222
107,2,1990,1055087,1099326,457634.0,126176.0,33933.0,144671.0,9099.0,244638.0,83175,597,-44836,215,-1.9835714285714283,-0.1505442738519084
108,2,1991,1084435,1049280,382414.0,73577.0,21160.0,159981.0,6239.0,319256.0,86653,665,34490,216,0.0489285714285714,0.0884671688722892
109,2,1992,880825,914846,297176.0,42158.0,29731.0,149728.0,6039.0,312966.0,77048,734,-34755,217,3.053571428571428,0.4417975620613023
110,2,1993,1033939,1034359,286946.0,64225.0,28156.0,128329.0,5956.0,430388.0,90359,802,-1223,218,3.447380952380952,0.4881075165234148
111,2,1994,1021414,1052962,342444.0,77060.0,45363.0,122335.0,7042.0,361539.0,97179,871,-32419,219,-1.3067857142857142,-0.070957789233677
112,2,1995,1426961,1346403,297965.0,66591.0,47686.0,112623.0,4401.0,718880.0,98257,939,79619,220,0.0823809523809525,0.0924009951128737
113,2,1996,1320073,1305318,338845.0,97659.0,81173.0,107532.0,4193.0,568038.0,107878,1008,13747,221,-3.748095238095238,-0.3580431085065125
114,2,1997,1335828,1278641,287792.0,121371.0,30609.0,89795.0,3583.0,622719.0,122772,1076,56111,222,-2.491904761904762,-0.2103216334508262
115,2,1998,1405085,1471816,291154.0,104267.0,42650.0,104451.0,3206.0,791982.0,134106,1145,-67875,223,1.158690476190476,0.2189694045118937
116,2,1999,1240977,1234472,195723.0,102549.0,19791.0,127087.0,2003.0,653013.0,134306,1213,5292,224,-1.6710714285714283,-0.1137958970492949
117,2,2000,1408314,1313657,115192.0,111469.0,21080.0,100171.0,1755.0,843504.0,120486,1282,93376,225,-2.756190476190476,-0.2414002606896078
118,2,2001,1175028,1158291,136654.0,120149.0,23029.0,75891.0,431.0,678428.0,123709,771,15966,226,-0.3999999999999999,0.0356755007112777
119,2,2002,1450116,1458029,152385.0,125715.0,28788.0,95517.0,618.0,929618.0,125388,1005,-8918,227,-4.483928571428572,-0.4445732864177329
120,2,2003,1362185,1395209,203278.0,127376.0,40385.0,87583.0,1113.0,673402.0,262072,815,-33839,228,-3.4908333333333337,-0.3277904447844373
121,2,2004,1737408,1668094,160287.0,133986.0,37832.0,93038.0,1015.0,918638.0,323298,1022,68292,229,-2.026190476190476,-0.1555560524787029
122,2,2005,1766179,1766002,186858.0,155851.0,26003.0,99766.0,606.0,904103.0,392815,722,-545,230,2.4321428571428574,0.3687207899052483
123,2,2006,1665618,1669136,157024.0,187621.0,29789.0,97181.0,390.0,768558.0,428573,513,-4031,231,-3.016428571428572,-0.2720029089526604
124,2,2007,1976059,1983146,166164.0,204542.0,42479.0,114271.0,199.0,976066.0,479425,507,-7594,232,-3.306309523809524,-0.3060914032438465
125,2,2008,1937724,1969874,197236.0,276387.0,95388.0,91850.0,537.0,758187.0,550289,1932,-34082,233,-0.2372619047619047,0.0548126554119148
126,2,2009,1850915,1861807,141723.0,222562.0,129807.0,77799.0,1073.0,790692.0,498150,1586,-12478,234,-1.9457142857142853,-0.1460924704906774
127,2,2010,2011368,2036407,262489.0,215011.0,43003.0,110053.0,,927799.0,478052,1501,-26540,235,0.9101190476190476,0.1897386956494721
128,2,2011,2586330,2525066,351215.0,321996.0,61072.0,104523.0,,1210604.0,475655,1522,59742,236,-2.0025,-0.1527701755325238
129,2,2012,2104064,2261551,413300.0,365066.0,93177.0,51714.0,,714360.0,623933,4394,-161880,237,-2.494404761904762,-0.2106156204652471
